t: 0	x_0: 1000	x_1: 0	
t: 1.1100000000000008	x_0: -944.808756080234	x_1: 1025.747554558836	
t: 1.1200000000000008	x_0: -934.0883242441664	x_1: 1117.8361963529653	
t: 1.1300000000000008	x_0: -922.4522590017572	x_1: 1208.8291123926806	
t: 1.1400000000000008	x_0: -909.9119662709195	x_1: 1298.6371075097804	
t: 1.1500000000000008	x_0: -896.4797383323489	x_1: 1387.1721480216509	
t: 1.1600000000000008	x_0: -882.1687417803496	x_1: 1474.3474480256905	
t: 1.1700000000000008	x_0: -866.9930046166203	x_1: 1560.077554470632	
t: 1.1800000000000008	x_0: -850.9674024996518	x_1: 1644.2784309213703	
t: 1.1900000000000008	x_0: -834.1076441632133	x_1: 1726.8675399351846	
t: 1.2000000000000008	x_0: -816.4302560182215	x_1: 1807.7639239686114	
t: 1.2100000000000009	x_0: -797.9525659530865	x_1: 1886.8882847356524	
t: 1.2200000000000009	x_0: -778.692686348413	x_1: 1964.1630609395345	
t: 1.2300000000000009	x_0: -758.6694963227069	x_1: 2039.5125043018186	
t: 1.2400000000000009	x_0: -737.9026232264906	x_1: 2112.862753814336	
t: 1.2500000000000009	x_0: -716.4124234029663	x_1: 2184.141908141163	
t: 1.260000000000001	x_0: -694.2199622340872	x_1: 2253.2800960996647	
t: 1.270000000000001	x_0: -671.3469934915959	x_1: 2320.2095451515165	
t: 1.280000000000001	x_0: -647.8159380132698	x_1: 2384.8646478365686	
t: 1.290000000000001	x_0: -623.6498617252777	x_1: 2447.1820260844293	
t: 1.300000000000001	x_0: -598.872453032188	x_1: 2507.100593340725	
t: 1.310000000000001	x_0: -573.507999596795	x_1: 2564.5616144471423	
t: 1.320000000000001	x_0: -547.5813645325211	x_1: 2619.508763216549	
t: 1.330000000000001	x_0: -521.1179620317347	x_1: 2671.88817764676	
t: 1.340000000000001	x_0: -494.14373245387156	x_1: 2721.6485127188234	
t: 1.350000000000001	x_0: -466.6851168977809	x_1: 2768.7409907280708	
t: 1.360000000000001	x_0: -438.7690312832203	x_1: 2813.1194490985963	
t: 1.370000000000001	x_0: -410.42283996690554	x_1: 2854.7403856342935	
t: 1.380000000000001	x_0: -381.6743289189788	x_1: 2893.563001162089	
t: 1.390000000000001	x_0: -352.5516784861876	x_1: 2929.5492395255797	
t: 1.400000000000001	x_0: -323.0834357684736	x_1: 2962.6638248898585	
t: 1.410000000000001	x_0: -293.29848663604844	x_1: 2992.874296320973	
t: 1.420000000000001	x_0: -263.22602741438703	x_1: 3020.1510396061085	
t: 1.430000000000001	x_0: -232.8955362648929	x_1: 3044.4673162833114	
t: 1.440000000000001	x_0: -202.33674428929	x_1: 3065.799289852292	
t: 1.450000000000001	x_0: -171.57960638606534	x_1: 3084.1260491406147	
t: 1.460000000000001	x_0: -140.65427188753003	x_1: 3099.42962880237	
t: 1.470000000000001	x_0: -109.59105500628144	x_1: 3111.695026929235	
t: 1.480000000000001	x_0: -78.42040512003601	x_1: 3120.9102197566554	
t: 1.490000000000001	x_0: -47.17287692396064	x_1: 3127.066173450738	
t: 1.500000000000001	x_0: -15.879100479760513	x_1: 3130.1568529642955	
t: 1.5100000000000011	x_0: 15.430248809117526	x_1: 3130.1792279533597	
t: 1.5200000000000011	x_0: 46.72448026673466	x_1: 3127.133275748369	
t: 1.5300000000000011	x_0: 77.97291802888765	x_1: 3121.0219813771123	
t: 1.5400000000000011	x_0: 109.14493111282462	x_1: 3111.8513346394066	
