t: 1.460000000000001	x_0: -153.45750867723515	x_1: 3328.044797917006	
t: 1.470000000000001	x_0: -120.1770606980651	x_1: 3343.083633767375	
t: 1.480000000000001	x_0: -86.74622436039135	x_1: 3354.8609857157853	
t: 1.490000000000001	x_0: -53.197614503233495	x_1: 3363.362115703104	
t: 1.500000000000001	x_0: -19.56399334620246	x_1: 3368.5754819244207	
t: 1.5100000000000011	x_0: 14.121761473041751	x_1: 3370.4927532723486	
t: 1.5200000000000011	x_0: 47.82668900576524	x_1: 3369.1088206479903	
t: 1.5300000000000011	x_0: 81.51777721224514	x_1: 3364.421805125425	
t: 1.5400000000000011	x_0: 115.16199526349939	x_1: 3356.433062958625	
t: 1.5500000000000012	x_0: 148.72632589308563	x_1: 3345.1471874228023	
t: 1.5600000000000012	x_0: 182.17779776731365	x_1: 3330.5720074852798	
t: 1.5700000000000012	x_0: 215.48351784216646	x_1: 3312.718583304083	
t: 1.5800000000000012	x_0: 248.6107036752073	x_1: 3291.6011985555506	
t: 1.5900000000000012	x_0: 281.5267156607628	x_1: 3267.2373495953802	
t: 1.6000000000000012	x_0: 314.19908915671664	x_1: 3239.6477314606254	
t: 1.6100000000000012	x_0: 346.5955664713229	x_1: 3208.856220723267	
t: 1.6200000000000012	x_0: 378.68412867855557	x_1: 3174.8898552090777	
t: 1.6300000000000012	x_0: 410.43302723064636	x_1: 3137.778810598579	
t: 1.6400000000000012	x_0: 441.8108153366322	x_1: 3097.556373929976	
t: 1.6500000000000012	x_0: 472.78637907593196	x_1: 3054.258914026986	
t: 1.6600000000000013	x_0: 503.3289682162018	x_1: 3007.925848877545	
t: 1.6700000000000013	x_0: 533.4082267049773	x_1: 2958.5996099923573	
t: 1.6800000000000013	x_0: 562.9942228049009	x_1: 2906.3256037752694	
t: 1.6900000000000013	x_0: 592.0574788426536	x_1: 2851.1521699403893	
t: 1.7000000000000013	x_0: 620.5690005420576	x_1: 2793.1305370138093	
t: 1.7100000000000013	x_0: 648.5003059121957	x_1: 2732.314774960688	
t: 1.7200000000000013	x_0: 675.8234536618025	x_1: 2668.761744981293	
t: 1.7300000000000013	x_0: 702.5110711116155	x_1: 2602.531046522436	
t: 1.7400000000000013	x_0: 728.5363815768399	x_1: 2533.684961553498	
t: 1.7500000000000013	x_0: 753.8732311923749	x_1: 2462.2883961589678	
t: 1.7600000000000013	x_0: 778.4961151539645	x_1: 2388.408819502115	
t: 1.7700000000000014	x_0: 802.3802033489857	x_1: 2312.1162002170263	
t: 1.7800000000000014	x_0: 825.501365351156	x_1: 2233.482940288826	
